step,episode,ep_reward,ep_steps,success,p_hidden_mean,collision_rate,oob_rate,critic_loss,actor_loss,coverage_loss,alpha,rew_env,rew_coverage,rew_exploration
152,49,-5.0000,2,0,0.8187,1.000,0.000,0.0000,0.0000,0.2001,0.2000,-5.0000,-0.0672,0.0000
155,50,-4.3078,3,0,0.8097,0.333,0.333,0.0000,0.0000,0.2111,0.2000,-4.4746,0.0459,0.0930
158,51,-7.0000,3,0,0.8247,0.667,0.333,0.0000,0.0000,0.1929,0.2000,-7.0000,-0.0130,0.0000
159,52,-3.0000,1,0,0.8248,1.000,0.000,0.0000,0.0000,0.1927,0.2000,-3.0000,-0.0924,0.0000
160,53,-3.0000,1,0,0.8370,1.000,0.000,0.0000,0.0000,0.1779,0.2000,-3.0000,-0.0200,0.0000
167,54,-15.0000,7,0,0.8484,0.429,0.571,0.0000,0.0000,1.4059,0.2000,-15.0000,-0.0357,0.0000
172,55,-11.0000,5,0,0.8136,0.400,0.600,0.0000,0.0000,1.6812,0.2000,-11.0000,-0.0501,0.0000
179,56,-15.0000,7,0,0.7944,0.571,0.429,0.0000,0.0000,0.2302,0.2000,-15.0000,-0.0153,0.0000
181,57,-5.0000,2,0,0.7670,0.500,0.500,0.0000,0.0000,0.2655,0.2000,-5.0000,-0.1084,0.0000
182,58,-3.0000,1,0,0.7667,1.000,0.000,0.0000,0.0000,0.2657,0.2000,-3.0000,-0.0630,0.0000
192,59,-20.0000,10,0,0.7878,0.500,0.500,0.0000,0.0000,0.2386,0.2000,-20.0000,0.0160,0.0000
194,60,-5.0000,2,0,0.7938,0.500,0.500,0.0000,0.0000,0.2309,0.2000,-5.0000,-0.0395,0.0000
198,61,-9.0000,4,0,0.8125,0.750,0.250,0.0000,0.0000,0.2076,0.2000,-9.0000,-0.0344,0.0000
199,62,-3.0000,1,0,0.7970,1.000,0.000,0.0000,0.0000,0.2269,0.2000,-3.0000,0.0191,0.0000
200,63,-3.0000,1,0,0.8003,1.000,0.000,0.0000,0.0000,0.2228,0.2000,-3.0000,-0.0651,0.0000
201,64,-3.0000,1,0,0.8162,1.000,0.000,0.0000,0.0000,0.2032,0.2000,-3.0000,-0.0116,0.0000
202,65,-3.0000,1,0,0.7968,1.000,0.000,0.0000,0.0000,0.2272,0.2000,-3.0000,-0.0974,0.0000
206,66,-9.0000,4,0,0.8087,0.500,0.500,0.0000,0.0000,0.2124,0.2000,-9.0000,-0.0354,0.0000
216,67,-20.0000,10,0,0.8385,0.400,0.600,0.0000,0.0000,0.1763,0.2000,-20.0000,-0.1361,0.0000
226,68,-20.0000,10,0,0.8586,0.600,0.400,0.0000,0.0000,0.1525,0.2000,-20.0000,-0.0309,0.0000
228,69,-5.0000,2,0,0.8680,0.500,0.500,0.0000,0.0000,0.1416,0.2000,-5.0000,0.0038,0.0000
234,70,-13.0000,6,0,0.8742,0.667,0.333,0.0000,0.0000,0.1345,0.2000,-13.0000,-0.0590,0.0000
238,71,-9.0000,4,0,0.8773,0.750,0.250,0.0000,0.0000,2.0985,0.2000,-9.0000,-0.0077,0.0000
239,72,-3.0000,1,0,0.8738,1.000,0.000,0.0000,0.0000,2.0699,0.2000,-3.0000,-0.0477,0.0000
240,73,-3.0000,1,0,0.8660,1.000,0.000,0.0000,0.0000,0.1439,0.2000,-3.0000,-0.0246,0.0000
241,74,-3.0000,1,0,0.8589,1.000,0.000,0.0000,0.0000,0.1521,0.2000,-3.0000,0.0345,0.0000
243,75,-5.0000,2,0,0.8614,0.500,0.500,0.0000,0.0000,0.1492,0.2000,-5.0000,-0.0514,0.0000
247,76,-9.0000,4,0,0.8621,1.000,0.000,0.0000,0.0000,0.1484,0.2000,-9.0000,-0.0348,0.0000
250,77,-7.0000,3,0,0.8557,0.333,0.667,0.0000,0.0000,0.1558,0.2000,-7.0000,-0.0016,0.0000
251,78,-3.0000,1,0,0.8542,1.000,0.000,0.0000,0.0000,0.1575,0.2000,-3.0000,-0.0827,0.0000
259,79,-17.0000,8,0,0.8659,0.250,0.750,0.0000,0.0000,0.1440,0.2000,-17.0000,-0.0150,0.0000
260,80,-3.0000,1,0,0.8589,1.000,0.000,0.0000,0.0000,0.1522,0.2000,-3.0000,-0.0429,0.0000
264,81,-9.0000,4,0,0.8611,0.500,0.500,0.0000,0.0000,1.0768,0.2000,-9.0000,-0.0976,0.0000
269,82,-11.0000,5,0,0.8738,0.400,0.600,0.0000,0.0000,0.1349,0.2000,-11.0000,0.0014,0.0000
270,83,-3.0000,1,0,0.8687,1.000,0.000,0.0000,0.0000,0.1407,0.2000,-3.0000,-0.0326,0.0000
271,84,-3.0000,1,0,0.8668,1.000,0.000,0.0000,0.0000,0.1429,0.2000,-3.0000,-0.0409,0.0000
273,85,-5.0000,2,0,0.8573,0.500,0.500,0.0000,0.0000,0.1541,0.2000,-5.0000,-0.1041,0.0000
280,86,-15.0000,7,0,0.8688,0.714,0.286,0.0000,0.0000,0.1407,0.2000,-15.0000,-0.1307,0.0000
290,87,-20.0000,10,0,0.8783,0.300,0.700,0.0000,0.0000,1.5030,0.2000,-20.0000,-0.0351,0.0000
291,88,-3.0000,1,0,0.8467,1.000,0.000,0.0000,0.0000,0.1664,0.2000,-3.0000,-0.0981,0.0000
292,89,-3.0000,1,0,0.8520,1.000,0.000,0.0000,0.0000,0.1602,0.2000,-3.0000,-0.0618,0.0000
293,90,-3.0000,1,0,0.8406,1.000,0.000,0.0000,0.0000,0.1737,0.2000,-3.0000,-0.0455,0.0000
294,91,-3.0000,1,0,0.8245,1.000,0.000,0.0000,0.0000,0.1929,0.2000,-3.0000,-0.1524,0.0000
295,92,-3.0000,1,0,0.8421,1.000,0.000,0.0000,0.0000,0.1718,0.2000,-3.0000,-0.0002,0.0000
296,93,-3.0000,1,0,0.8468,1.000,0.000,0.0000,0.0000,0.1663,0.2000,-3.0000,-0.0450,0.0000
299,94,-7.0000,3,0,0.8439,0.333,0.667,0.0000,0.0000,0.1697,0.2000,-7.0000,-0.0131,0.0000
300,95,-3.0000,1,0,0.8420,1.000,0.000,0.0000,0.0000,0.1719,0.2000,-3.0000,-0.0419,0.0000
305,96,-11.0000,5,0,0.8331,0.400,0.600,0.0000,0.0000,0.1826,0.2000,-11.0000,-0.0298,0.0000
308,97,-7.0000,3,0,0.8432,0.667,0.333,0.0000,0.0000,0.1706,0.2000,-7.0000,0.0153,0.0000
309,98,-3.0000,1,0,0.8419,1.000,0.000,0.0000,0.0000,0.1721,0.2000,-3.0000,-0.0258,0.0000
310,99,-3.0000,1,0,0.8154,1.000,0.000,0.0000,0.0000,0.2041,0.2000,-3.0000,-0.1425,0.0000
320,100,-20.0000,10,0,0.8449,0.600,0.400,0.0000,0.0000,0.5275,0.2000,-20.0000,-0.1247,0.0000
321,101,-3.0000,1,0,0.8369,1.000,0.000,0.0000,0.0000,0.1780,0.2000,-3.0000,-0.0988,0.0000
322,102,-3.0000,1,0,0.8593,1.000,0.000,0.0000,0.0000,0.1516,0.2000,-3.0000,0.0459,0.0000
332,103,-20.0000,10,0,0.8557,0.700,0.300,0.0000,0.0000,0.1559,0.2000,-20.0000,-0.0000,0.0000
342,104,-20.0000,10,0,0.8636,0.300,0.700,0.0000,0.0000,0.7110,0.2000,-20.0000,-0.0008,0.0000
343,105,-3.0000,1,0,0.8484,1.000,0.000,0.0000,0.0000,0.1644,0.2000,-3.0000,-0.0615,0.0000
353,106,-21.0000,10,0,0.8591,0.400,0.600,0.0000,0.0000,0.8938,0.2000,-21.0000,-0.1540,0.0000
358,107,-11.0000,5,0,0.8495,0.400,0.600,0.0000,0.0000,0.1631,0.2000,-11.0000,0.0433,0.0000
359,108,-3.0000,1,0,0.8313,1.000,0.000,0.0000,0.0000,0.1848,0.2000,-3.0000,-0.0900,0.0000
360,109,-3.0000,1,0,0.8455,1.000,0.000,0.0000,0.0000,1.8673,0.2000,-3.0000,0.1233,0.0000
