step,episode,ep_reward,ep_steps,success,p_hidden,critic_loss,actor_loss,coverage_loss,alpha
410,82,5.8045,5,0,0.9413,0.0000,0.0000,0.0841,0.2000
415,83,5.6292,5,0,0.9288,0.0000,0.0000,0.0650,0.2000
420,84,-5.6131,5,0,0.9533,0.0000,0.0000,0.0485,0.2000
425,85,-5.5643,5,0,0.9553,0.0000,0.0000,0.0591,0.2000
430,86,55.7141,5,0,0.9213,0.0000,0.0000,2.0187,0.2000
435,87,-26.5605,5,0,0.9247,0.0000,0.0000,0.0747,0.2000
440,88,45.1899,5,0,0.8303,0.0000,0.0000,1.4275,0.2000
445,89,-26.4213,5,0,0.9063,0.0000,0.0000,0.0999,0.2000
450,90,-10.3673,5,0,0.9219,0.0000,0.0000,0.0781,0.2000
455,91,-5.3759,5,0,0.9287,0.0000,0.0000,0.0807,0.2000
460,92,-16.3498,5,0,0.8672,0.0000,0.0000,0.1247,0.2000
465,93,-5.3260,5,0,0.9094,0.0000,0.0000,0.0856,0.2000
470,94,5.8595,5,0,0.9151,0.0000,0.0000,0.0900,0.2000
475,95,-21.7259,5,0,0.9568,0.0000,0.0000,0.0461,0.2000
480,96,-4.9091,5,0,0.8854,0.0000,0.0000,0.1570,0.2000
485,97,-43.8551,5,0,0.9425,0.0000,0.0000,0.0611,0.2000
490,98,-37.3939,5,0,0.8727,0.0000,0.0000,0.1536,0.2000
495,99,-58.9064,5,0,0.9614,0.0000,0.0000,0.0457,0.2000
500,100,-38.7645,5,0,0.8304,0.0000,0.0000,0.1832,0.2000
505,101,-16.1924,5,0,0.8972,0.0000,0.0000,0.1477,0.2000
510,102,-10.0249,5,0,0.8832,0.0000,0.0000,0.1290,0.2000
515,103,-5.0909,5,0,0.8480,0.0000,0.0000,0.1298,0.2000
520,104,-32.9037,5,0,0.9755,0.0000,0.0000,0.0255,0.2000
525,105,-42.7634,5,0,0.9339,0.0000,0.0000,0.0644,0.2000
530,106,-53.9494,5,0,0.9768,0.0000,0.0000,0.0256,0.2000
535,107,-10.4076,5,0,0.9293,0.0000,0.0000,0.0744,0.2000
540,108,-5.6912,5,0,0.9689,0.0000,0.0000,0.0390,0.2000
545,109,-37.8060,5,0,0.9518,0.0000,0.0000,0.0537,0.2000
550,110,-10.5983,5,0,0.9515,0.0000,0.0000,0.0546,0.2000
555,111,-10.7810,5,0,0.9751,0.0000,0.0000,0.0287,0.2000
560,112,-10.6960,5,0,0.9702,0.0000,0.0000,0.0428,0.2000
565,113,-27.8894,5,0,0.9510,0.0000,0.0000,0.0417,0.2000
570,114,5.1431,5,0,0.9822,0.0000,0.0000,0.0144,0.2000
575,115,-42.9112,5,0,0.9821,0.0000,0.0000,0.0220,0.2000
580,116,55.1674,5,0,0.9660,0.0000,0.0000,0.6865,0.2000
585,117,-26.7411,5,0,0.9512,0.0000,0.0000,0.0440,0.2000
590,118,-58.8654,5,0,0.9297,0.0000,0.0000,0.0750,0.2000
595,119,44.6320,5,0,0.8635,0.0000,0.0000,0.4590,0.2000
600,120,-21.8870,5,0,0.9840,0.0000,0.0000,0.0185,0.2000
605,121,-37.6137,5,0,0.8445,0.0000,0.0000,0.0953,0.2000
610,122,-53.9144,5,0,0.9592,0.0000,0.0000,0.0445,0.2000
615,123,-21.8312,5,0,0.9704,0.0000,0.0000,0.0277,0.2000
620,124,-58.9155,5,0,0.9631,0.0000,0.0000,0.0454,0.2000
625,125,-32.9208,5,0,0.9872,0.0000,0.0000,0.0161,0.2000
630,126,-5.6354,5,0,0.9596,0.0000,0.0000,0.0470,0.2000
635,127,-26.7386,5,0,0.9609,0.0000,0.0000,0.0402,0.2000
640,128,-21.6915,5,0,0.9522,0.0000,0.0000,0.0578,0.2000
645,129,5.1836,5,0,0.9847,0.0000,0.0000,0.0185,0.2000
650,130,-37.8609,5,0,0.9606,0.0000,0.0000,0.0331,0.2000
655,131,5.1684,5,0,0.9847,0.0000,0.0000,0.0170,0.2000
660,132,5.0860,5,0,0.9921,0.0000,0.0000,0.0086,0.2000
665,133,-42.8817,5,0,0.9809,0.0000,0.0000,0.0284,0.2000
670,134,-37.8569,5,0,0.9732,0.0000,0.0000,0.0326,0.2000
675,135,5.0714,5,0,0.9931,0.0000,0.0000,0.0072,0.2000
680,136,-42.8160,5,0,0.9584,0.0000,0.0000,0.0430,0.2000
685,137,-37.8122,5,0,0.9609,0.0000,0.0000,0.0350,0.2000
690,138,-26.9210,5,0,0.9884,0.0000,0.0000,0.0135,0.2000
695,139,-21.8499,5,0,0.9758,0.0000,0.0000,0.0254,0.2000
700,140,-5.9382,5,0,0.9925,0.0000,0.0000,0.0077,0.2000
705,141,-32.9213,5,0,0.9828,0.0000,0.0000,0.0204,0.2000
710,142,-26.8658,5,0,0.9789,0.0000,0.0000,0.0229,0.2000
715,143,5.0891,5,0,0.9929,0.0000,0.0000,0.0090,0.2000
720,144,-27.9736,5,0,0.9929,0.0000,0.0000,0.0071,0.2000
725,145,-26.9051,5,0,0.9838,0.0000,0.0000,0.0158,0.2000
730,146,-10.7274,5,0,0.9652,0.0000,0.0000,0.0388,0.2000
735,147,-10.9490,5,0,0.9940,0.0000,0.0000,0.0063,0.2000
740,148,-32.8245,5,0,0.9772,0.0000,0.0000,0.0431,0.2000
745,149,-48.9691,5,0,0.9844,0.0000,0.0000,0.0169,0.2000
750,150,23.4002,5,0,0.8956,0.0000,0.0000,0.5059,0.2000
755,151,-10.9159,5,0,0.9908,0.0000,0.0000,0.0105,0.2000
760,152,-16.9659,5,0,0.9941,0.0000,0.0000,0.0063,0.2000
765,153,-21.9682,5,0,0.9949,0.0000,0.0000,0.0052,0.2000
770,154,5.2002,5,0,0.9845,0.0000,0.0000,0.0202,0.2000
775,155,-5.9083,5,0,0.9895,0.0000,0.0000,0.0120,0.2000
780,156,-10.8785,5,0,0.9887,0.0000,0.0000,0.0145,0.2000
785,157,-37.7238,5,0,0.9416,0.0000,0.0000,0.0448,0.2000
790,158,5.0557,5,0,0.9946,0.0000,0.0000,0.0056,0.2000
795,159,-32.9424,5,0,0.9891,0.0000,0.0000,0.0137,0.2000
800,160,-5.8957,5,0,0.9892,0.0000,0.0000,0.0126,0.2000
805,161,-10.8375,5,0,0.9830,0.0000,0.0000,0.0210,0.2000
810,162,-5.9570,5,0,0.9943,0.0000,0.0000,0.0054,0.2000
815,163,-42.9483,5,0,0.9828,0.0000,0.0000,0.0183,0.2000
820,164,55.2005,5,0,0.9702,0.0000,0.0000,0.7167,0.2000
825,165,-21.9739,5,0,0.9958,0.0000,0.0000,0.0043,0.2000
830,166,55.1107,5,0,0.9884,0.0000,0.0000,4.5075,0.2000
835,167,-10.8161,5,0,0.9809,0.0000,0.0000,0.0224,0.2000
840,168,-27.8887,5,0,0.9694,0.0000,0.0000,0.0313,0.2000
845,169,-16.9195,5,0,0.9861,0.0000,0.0000,0.0134,0.2000
850,170,-5.8714,5,0,0.9820,0.0000,0.0000,0.0158,0.2000
855,171,-53.9233,5,0,0.9620,0.0000,0.0000,0.0315,0.2000
860,172,5.2248,5,0,0.9568,0.0000,0.0000,0.0228,0.2000
865,173,-21.7778,5,0,0.9661,0.0000,0.0000,0.0361,0.2000
870,174,-53.9258,5,0,0.9676,0.0000,0.0000,0.0426,0.2000
875,175,-5.7340,5,0,0.9613,0.0000,0.0000,0.0364,0.2000
880,176,5.1578,5,0,0.9862,0.0000,0.0000,0.0159,0.2000
885,177,-5.6196,5,0,0.9345,0.0000,0.0000,0.0450,0.2000
890,178,-32.8029,5,0,0.9616,0.0000,0.0000,0.0482,0.2000
895,179,-21.8027,5,0,0.9649,0.0000,0.0000,0.0373,0.2000
900,180,-58.8636,5,0,0.9478,0.0000,0.0000,0.0583,0.2000
905,181,33.1108,5,0,0.9759,0.0000,0.0000,0.7567,0.2000
910,182,-26.8128,5,0,0.9703,0.0000,0.0000,0.0332,0.2000
915,183,-53.9768,5,0,0.9700,0.0000,0.0000,0.0181,0.2000
